姓名,部门,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
员工21,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工22,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工23,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工24,PA外包,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工25,PA外包,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工26,PA外包,,"17:37
     ","17:37
     ","17:38
     ",,"17:36
     ","12:36
17:44","17:39
     ","17:40
     ","12:24
17:38","11:49
17:40",,,"17:35
     ","17:39
     ","11:52
     ","19:13
     ","11:47
17:42","11:51
17:51","17:41
     ","17:35
     ","12:30
     ","11:15
17:46","17:37
     ","17:38
     ","12:21
     ","08:04
11:54","17:44
     ","17:38
     ","11:57
17:37","17:39
     "
员工27,人事部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工28,客房部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工29,PA外包,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工30,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工31,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工32,房务部,,"07:59
     ","08:00
     ","07:56
     ","07:57
     ",,"07:58
     ",,,,"18:53
     ","07:49
     ","07:43
     ","07:43
     ",,"07:58
     ","07:33
     ","07:46
     ",,"07:58
     ",,,,"07:23
18:52","07:58
     ",,"07:54
     ",,,"07:26
     ","07:44
18:50"
员工33,PA外包,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工34,PA外包,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工35,PA外包,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工36,PA外包,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工37,客房部,"11:58
     ",,"12:37
     ","12:46
     ","12:39
     ",,"12:37
     ",,,"12:39
18:05","18:08
     ",,,"12:47
     ",,"12:31
18:02","12:27
     ","12:41
     ","12:43
     ",,,,"11:28
     ","11:41
     ","12:08
     ","12:00
     ","11:49
     ","12:26
     ",,"12:12
     ",
员工38,PA外包,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工39,房务部,"07:18
     ","07:20
     ","07:20
     ","07:18
     ","07:18
     ","07:18
18:57","07:20
     ",,,"19:21
     ",,"07:37
     ","19:21
     ",,,"07:40
     ",,,,"18:52
     ","07:15
     ","07:37
     ",,"07:20
18:53","07:19
     ","07:19
     ","07:23
     ","07:20
19:20","07:23
     ","08:15
12:15","07:17
     "
员工40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17:50
     ",
员工41,PA外包,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工42,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工43,PA外包,"11:16
     ","11:22
     ","08:29
11:56","08:27
12:14","08:12
12:10","08:18
12:10","08:23
11:47","08:13
11:54","08:10
11:46","08:15
11:41",,"08:17
11:24","12:04
     ","08:04
12:02","11:43
     ","08:16
12:12","08:22
11:51","08:23
11:33","08:27
11:59","08:29
11:52","08:20
11:45","11:25
     ","11:21
     ","11:56
     ","11:34
     ",,"11:45
     ","08:20
11:40","08:06
12:09","08:05
11:54","11:49
     "
员工44,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工45,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工46,PA外包,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工47,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工48,PA外包,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工49,PA外包,"12:11
     ",,"18:34
     ",,,,,,"18:28
     ","08:30
18:52","08:32
     ",,"18:48
     ",,"18:44
     ","08:29
     ",,,,"18:39
     ",,,,,,,,,"08:27
18:38",,"18:10
     "
员工50,PA外包,,"17:49
     ",,"17:48
     ",,,,,,,"17:51
     ",,"17:50
     ",,,,,"17:51
     ",,,"17:49
     ",,,"17:50
     ","17:48
     ",,,"18:15
     ",,,"17:49
     "
员工51,PA外包,,"17:50
     ",,"08:22
12:12","07:54
17:57",,,,,,"17:52
     ",,"17:50
     ",,,,,"17:51
     ",,"17:51
     ","17:49
     ",,,"17:50
     ","17:47
     ",,,"17:49
     ",,,"17:49
     "
员工52,,,,,"17:41
     ",,,,,,,,,,,,,,,,,,,,,,,,,,,
员工53,PA外包,"11:16
     ","11:20
     ","08:30
11:57",,,"08:06
     ","11:46
     ","08:02
     ","11:23
     ","08:24
11:24","11:21
     ","08:21
11:23",,"12:21
     ","08:00
     ","11:42
     ","11:44
     ","12:06
     ","07:44
     ","08:04
11:24","11:33
     ","08:24
11:51","11:21
     ","08:14
11:43","11:19
     ","11:21
     ","08:15
11:24","11:28
     ","11:18
     ","08:26
11:45","08:24
11:49"
员工54,,,,,,,,,,,,,,,,,,,,,,,"18:31
     ",,,,,,,,,
员工55,PA外包,"11:08
     ","11:09
     ","08:01
11:11","11:12
     ",,"11:14
     ","11:08
     ","11:09
     ","11:11
     ","11:10
     ",,,"11:18
     ","11:13
     ","11:13
     ","11:16
     ","11:15
     ",,"11:07
     ","11:07
     ","11:12
     ",,,"11:11
     ",,,,"11:07
     ","11:10
     ","11:12
     ",
员工56,PA外包,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工57,PA外包,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工58,PA外包,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工59,PA外包,,"11:16
     ",,,,,,"11:19
     ",,,,,"11:18
     ",,"11:12
     ","11:10
     ","12:49
     ",,,,,,"11:17
     ",,,,"11:18
     ",,"13:09
     ",,
员工60,人事部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工61,PA外包,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工62,PA外包,"17:50
     ",,,,,,,"17:55
     ","17:50
     ",,,"17:59
     ","17:51
     ",,,"17:52
     ","17:52
     ","17:53
     ","17:50
     ","17:52
     ",,,,,,,,,,,
员工63,PA外包,,,,,,,,,,,,,"17:51
     ",,"17:54
     ",,,"17:52
     ",,,,,,,,,,,,,
员工64,PA外包,,"07:32
     ","07:42
18:28","07:51
     ","07:55
     ","07:52
     ","18:51
     ","18:30
     ","11:37
     ","07:58
     ",,,"07:49
     ","07:53
     ",,,"07:44
     ",,,,"12:27
19:05","08:12
12:23","08:17
12:41","08:23
12:25","08:24
18:14","12:16
     ","12:14
17:59","12:29
     ","08:26
12:47","12:24
18:58","18:08
     "
员工65,,,,,,,,,,,,,,,,,,,,,,,"18:10
     ",,,,,,,,,
员工66,PA外包,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工67,PA外包,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工68,PA外包,,"08:49
11:10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工69,,,"17:28
     ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工70,PA外包,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工71,房务部,"07:25
11:16","17:50
     ","17:49
     ","17:49
     ","17:49
     ","17:50
     ","17:53
     ","17:52
     ","17:50
     ","17:53
     ","17:59
     ","07:29
11:18","17:50
     ","17:54
     ",,"17:51
     ","17:51
     ","17:51
     ","17:49
     ",,"17:50
     ","17:51
     ","17:50
     ",,"17:48
     ","17:50
     ","17:49
     ","17:49
     ","17:50
     ","17:50
     ","17:50
     "
员工72,,"17:39
     ",,,,,,,,,,,"17:39
     ",,,,,,,,,,,,,,,,,,,
员工73,管事部,,"19:01
     ","18:00
     ","18:16
     ",,"18:11
     ",,"19:18
     ","18:48
     ","18:12
     ","17:48
     ","18:09
     ",,"17:44
     ","07:30
     ","07:24
     ","07:29
     ","07:28
     ","07:24
     ","07:27
     ",,,"18:48
     ","08:05
     ","08:16
     ","08:34
     ","18:35
     ",,,"18:17
     ",
员工74,PA外包,"08:06
17:40","08:13
17:32","07:00
     ","17:35
     ","08:19
11:20",,"07:28
18:53","07:25
     ",,,"18:37
     ",,"11:31
     ",,"07:48
     ","11:23
     ","07:49
     ","17:52
     ","11:32
     ","08:01
11:34","08:32
     ",,,"17:50
     ",,,,"07:29
     ","07:26
     ","07:27
     ","07:28
     "
员工75,PA外包,,"17:49
     ",,"17:49
     ",,,,,,,,,,,,,,,,,"17:49
     ",,,"17:50
     ","11:45
     ","11:29
     ",,"17:48
     ",,,"12:01
     "
员工76,PA外包,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工77,PA外包,,,,,,,,,,"08:04
17:43","08:25
17:41","08:24
18:12","08:23
17:30","08:24
17:40",,,"08:22
17:35","08:11
11:40","08:23
17:33","18:30
     ","17:49
     ",,"07:50
11:27","08:23
17:40","08:23
18:08","08:24
11:35","17:44
     ","08:30
17:34","08:26
     ","08:24
17:39","08:22
17:54"
员工78,,,,,,,,,,,,,,,,,,,,,,,,"17:28
     ",,,"17:41
     ",,,,,
员工79,PA外包,,,,"18:05
     ",,,,,,,,,"17:56
     ",,,,,"17:59
     ",,,"17:56
     ",,,"17:51
     ","17:50
     ",,,"17:56
     ",,,"17:57
     "
员工80,房务部,"08:17
11:35","11:22
     ","08:23
11:29","08:26
11:30","11:36
     ","07:59
11:44","11:26
     ","08:23
11:38","11:52
     ",,"08:27
11:21",,"08:21
11:51","11:30
     ","08:24
11:32","08:21
11:30","11:37
     ","08:18
11:41","11:37
     ","07:16
17:53","11:37
     ","08:05
11:34","11:39
     ","08:17
11:25","07:47
11:30","08:35
11:37","08:36
11:28","11:28
     ","08:04
11:27","11:30
     ","07:57
11:29"
员工81,PA外包,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工82,PA外包,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工83,PA外包,"17:36
     ","17:33
     ","17:31
     ","17:27
     ","17:29
     ","17:27
     ","17:30
     ","17:56
     ","17:29
     ","07:53
18:06","18:01
     ","18:05
     ","17:49
     ",,"11:25
     ","12:02
     ","11:33
     ","11:43
     ","11:55
     ","11:44
17:28",,,,,,,,,"13:09
18:19","18:07
     ","17:42
     "
员工84,PA外包,"17:36
     ","17:34
     ","17:31
     ","17:26
     ","17:29
     ","17:27
     ","17:30
     ","17:56
     ","17:29
     ","18:06
     ","18:01
     ","18:05
     ","17:49
     ",,"11:25
     ",,,,,"17:28
     ",,,,,,,,,"13:09
18:19","18:07
     ","17:42
     "
员工85,PA外包,,,,,,,,,,,,"18:11
     ",,,,,,,"17:51
     ",,,,,,,,,,,,
员工86,PA外包,,,,,,,,,,,,"18:11
     ",,,,"18:37
     ",,,"17:51
     ","17:32
     ",,,,,,,,,,,
员工87,房务部,,,,,,,,,,,,"18:29
     ","19:02
     ","18:30
     ","18:43
     ","18:21
     ","18:38
     ","18:23
     ","18:42
     ","18:19
     ",,,,,,,,,,,
员工88,餐饮部,"07:27
     ",,,,"08:32
     ",,,"12:55
18:42","07:46
11:48","12:08
     ",,"08:18
     ",,,"08:24
     ",,"08:21
     ",,,,,,,"12:04
     ",,"11:43
     ",,,"12:29
     ",,"11:48
     "
员工89,房务部,,"17:50
     ",,"17:48
     ",,"18:07
     ",,"18:30
     ","17:50
     ",,"18:47
     ",,,,,,,,,"07:21
11:27","17:49
     ",,,,"18:11
     ",,,"17:49
     ",,,"17:33
     "
员工90,房务部,,,,"19:20
     ",,"18:50
     ",,"18:32
     ",,,,,,,,,,"18:52
     ",,"17:50
     ",,,,,,,,,,"19:22
     ",
员工91,前厅部,,,,,,,,,,,,,,,,,,,,,,,"17:52
     ",,,,,"07:38
18:17",,,
员工92,房务部,"08:31
12:34","08:44
11:54","08:28
18:05","08:32
     ","08:21
18:17","08:19
12:14",,"18:37
     ","18:21
     ","18:01
     ","07:37
18:37","08:40
18:03","08:31
12:02","11:46
17:28","08:19
11:46","08:17
     ","06:32
     ","07:57
     ",,"06:48
18:00",,"17:29
     ",,"17:54
     ","08:02
18:25","12:49
     ","08:18
17:57","17:55
     ","08:32
11:58","07:12
     ",
员工93,,"17:40
     ","17:36
     ",,,,,,,,,,,"17:39
     ",,"18:00
     ",,,,,,,,,,,,,,"17:53
     ",,
员工94,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工95,财务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工96,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工97,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工98,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工99,房务部,,,,"19:20
     ","18:51
     ",,,,,,,,,,,,,,,"17:51
     ","19:19
     ",,,,,,,,,,
员工100,房务部,,,"07:21
     ","07:19
18:51","07:16
18:29","18:29
     ",,,,,,"07:15
     ","07:17
     ","07:16
     ",,,,"07:17
18:29","18:30
     ","07:18
     ","07:14
     ","07:19
     ",,,"07:15
     ",,"07:18
     ",,,,"18:53
     "
员工101,餐饮部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工102,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工103,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工104,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工105,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工106,财务部,,"08:36
     ","18:59
     ",,"08:35
     ","08:33
18:14",,"17:42
     ","08:29
     ","08:32
18:45",,"11:50
     ",,,,,,,,,"17:27
     ",,,"17:56
     ","08:36
     ",,,,"08:31
     ","08:36
     ","08:32
     "
员工107,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工108,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工109,IT部,,,,"18:54
     ",,,,,,,"18:43
     ",,,,,,,,,"12:35
18:50",,,,,,,,,,"12:31
     ",
员工110,房务部,"08:35
12:35","08:28
12:02","18:16
     ","18:00
     ","18:23
     ","08:31
11:47","18:28
     ","18:21
     ","17:47
     ","18:23
     ",,,,,,"11:23
17:29",,"18:29
     ","18:40
     ","18:25
     ",,"08:37
12:27","18:21
     ","18:24
     ","18:22
     ","08:18
12:15",,,"08:24
12:34","18:39
     ","18:38
     "
员工111,,"17:58
     ","17:27
     ",,,,"18:43
     ",,,,,,,,,,,,,,,,"18:25
     ",,,,"18:23
     ",,,"17:50
     ",,
员工112,IT部,,"08:06
     ",,,"17:41
     ",,,,,,"11:19
17:42",,,,,,,"11:19
17:41",,,,,,"11:18
17:41",,,,"11:18
17:41",,,
员工113,房务部,,,,,,,,,,,"18:53
     ",,,,,,,"18:52
     ",,,,"07:57
     ",,,,,,"18:52
     ",,,
员工114,财务部,,"18:52
     ","18:51
     ",,,,,,"18:54
     ","19:21
     ","18:52
     ","19:20
     ",,,,"18:55
     ",,"18:52
     ",,"18:29
     ",,,,,,,,,,,
员工115,餐饮部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工116,采购部,,"08:21
     ","08:18
     ",,,,,,,,,,,,,,,"18:29
     ",,,,,,,,,,,,,
员工117,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工118,房务部,,"07:57
     ","07:58
     ",,,,"17:42
     ","07:43
     ","07:58
     ","08:00
     ","07:59
18:28",,,"12:25
18:06","07:45
     ","08:01
     ","08:02
     ",,,,,"07:59
     ","12:09
     ",,"07:48
     ","07:59
     ","08:00
     ","08:01
     ","07:58
     ",,"08:13
     "
员工119,财务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工120,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工121,财务部,"08:22
     ","08:31
     ",,"08:30
     ",,,"18:06
     ","08:31
     ",,,,,,,,,"08:27
     ",,"08:27
19:21","08:35
     ","08:34
     ",,"11:48
     ",,,,"08:26
     ","18:55
     ","18:56
     ","08:34
     ",
员工122,财务部,,,,"08:28
     ",,,,,"08:28
     ",,"08:25
18:29",,,,,,,"19:20
     ",,,"18:31
     ",,,,,,"08:25
     ","18:30
     ",,,
员工123,财务部,,"08:26
     ",,"08:28
18:28",,,,"08:24
     ","08:22
     ","08:24
     ","08:23
18:22",,,,,,,"17:49
     ","08:25
     ",,"08:23
     ","08:20
     ",,,,"08:29
     ",,"18:30
     ",,,
员工124,财务部,,"08:14
18:52","08:14
18:51","08:13
     ","08:16
     ",,,"08:13
     ","08:16
     ","08:16
     ",,,,,"08:19
     ","08:21
     ","08:19
     ","08:14
19:20","08:18
     ",,"08:12
18:31",,,,"08:14
     ","08:14
     ","08:15
     ","08:05
18:52","08:16
     ",,
员工125,财务部,"12:06
18:26","08:30
     ",,"08:27
     ","08:27
18:27","08:24
     ","12:29
     ","08:26
     ","11:42
18:43","08:27
     ","08:28
     ","08:27
     ","11:26
     ","11:26
     ","08:28
     ","08:28
18:31","08:29
18:31","08:27
     ","08:28
18:36","17:30
     ","08:28
     ","08:29
     ","11:49
     ","11:45
     ","08:27
     ","08:27
     ","08:29
     ","08:27
     ","08:28
     ","12:28
17:38","11:34
17:56"
员工126,采购部,,"08:13
     ","08:13
     ","08:13
     ",,,,"08:13
     ","08:16
     ","08:16
     ","08:22
18:52","08:20
     ",,,"08:19
     ","08:21
     ","08:19
     ","07:59
18:30","08:18
     ",,"08:12
18:52",,,,"08:15
     ","08:14
     ","08:16
     ","08:15
18:52","08:17
     ",,
员工127,采购部,,,,,,,,,,,"12:21
18:53",,,,"19:21
     ","18:30
     ","19:24
     ","13:10
     ","08:21
18:54","18:36
     ","19:20
     ","19:22
     ",,,,,,,,"18:39
     ",
员工128,财务部,"08:33
     ","08:30
     ","08:25
18:28","08:24
18:48","08:39
     ",,"18:48
     ","08:31
18:54","08:20
18:54","08:23
18:34","07:57
18:52","08:17
18:39",,,"19:05
     ","08:00
18:54","08:05
     ","12:05
     ","08:27
     ","11:46
     ",,,,,,,"08:31
     ","08:25
     ","08:29
     ","08:39
     ","08:27
     "
员工129,房务部,,"17:50
     ",,"17:48
     ","08:15
     ","07:53
11:50","07:58
11:47",,"17:50
     ","17:52
     ",,"08:02
     ",,"17:50
     ",,,,"17:51
     ",,"11:41
     ",,"17:32
     ","17:50
     ",,"17:48
     ",,,"17:49
     ",,,
员工130,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工131,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工132,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工133,客房部,,,,,,,,,,,,,,,,,,,,,,"07:55
18:52",,,,,,,,,
员工134,房务部,"07:09
     ","07:27
     ","07:28
     ","07:19
     ","07:30
19:18","07:20
     ","07:35
     ","07:37
19:20","07:35
     ","07:26
     ","07:17
19:21","07:34
     ","07:34
     ","07:31
     ","07:19
     ","07:12
     ","07:15
     ","07:36
     ","07:24
19:21","07:38
     ","07:20
     ",,"07:08
19:20","07:21
19:21","07:27
     ","07:31
     ",,,,,
员工135,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工136,客房部,,,,"18:29
     ",,,,"11:40
     ",,"07:52
17:52","07:53
     ",,"17:50
     ",,"07:53
     ","07:53
17:51","07:57
     ","17:51
     ",,"07:52
     ",,"17:50
     ","18:29
     ",,"18:52
     ",,"17:48
     ","17:31
     ","18:30
     ","17:51
     ","17:50
     "
员工137,客房部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工138,房务部,"07:28
     ","07:33
     ","07:33
     ","07:34
     ","07:34
19:18","07:34
     ","07:36
     ","07:35
19:20","07:33
     ","07:36
     ","07:35
19:21","07:34
     ","07:32
     ","07:38
     ","07:37
     ","07:45
     ","07:36
     ","07:36
     ","07:40
19:20","07:41
     ",,,"07:37
     ","07:38
     ","07:40
     ","07:33
     ",,,,,
员工139,房务部,,,"11:35
17:51",,"19:20
     ",,,,"07:26
     ",,,,,,,,,"19:22
     ","19:21
     ",,,,,,,,,,,,
员工140,客房部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工141,客房部,,,"07:40
     ","07:46
     ",,,"07:44
     ",,"07:50
     ","07:26
     ",,,,,,,,"07:44
19:08","07:40
     ","07:45
     ","07:17
     ","18:52
     ","19:21
     ",,"19:07
     ","07:44
     ","07:54
19:15","07:38
     ",,"07:47
     ","07:46
     "
员工142,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工143,房务部,"07:59
     ",,,,,,"17:58
     ",,,,,,,"19:18
     ",,,,,,,,,,,,,,,"07:56
     ","08:01
     ","08:06
     "
员工144,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工145,客房部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工146,客房部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工147,PA外包,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工148,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工149,房务部,"12:18
     ",,,,,,,,,,,"12:28
     ",,,,,,,,,,,,,,,,,,,
员工150,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工151,房务部,"06:50
     ",,"07:16
18:28","07:21
18:50","07:12
18:27","07:13
18:50","07:19
18:52","07:19
18:53","07:16
18:53","07:17
     ","07:14
18:52","07:13
     ","07:28
     ",,,"18:14
     ","07:14
     ","07:15
18:29","07:14
     ","07:15
17:50","07:12
19:19","07:15
     ","19:20
     ","18:30
     ",,,,,"17:24
     ",,
员工152,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工153,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工154,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工155,管事部,,,,,,,,,,,,,,,,,,,,,"07:22
     ","07:24
     ","07:31
     ","07:17
     ",,"18:33
     ","11:24
     ","07:21
     ","07:14
     ","07:17
     ","07:38
     "
员工156,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工157,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工158,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工159,房务部,,,,,,,,,,"12:17
18:49",,,,,,,,,,,,,,,,,,,,,
员工160,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工161,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工162,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工163,人事部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工164,房务部,,"08:14
     ",,"11:43
     ",,,,,,,,,,,,,,,,,,,,,,,,,,,
员工165,房务部,,,,"17:45
     ",,,,,,,,,,,,,,,,,,,,,,,,,,,
员工166,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工167,PA外包,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工168,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工169,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工170,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工171,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工172,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工173,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工174,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工175,销售部,,"07:55
     ","07:51
     ","07:52
     ","07:55
18:03","07:35
     ","07:48
     ","07:53
     ","07:50
     ",,,"07:52
     ","07:50
18:08",,"07:41
     ","07:56
     ","07:51
     ","07:53
19:08","07:41
     ","07:51
     ",,,,"07:45
     ","07:51
     ","07:50
     ","07:56
19:15","07:43
     ","07:51
     ","07:51
     ","07:49
     "
员工176,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工177,房务部,"07:19
     ",,,"07:43
     ","07:27
     ","07:17
19:22","07:47
     ",,,,,,"07:44
     ",,,,,,"07:42
     ",,,,"17:36
     ","07:22
19:22","07:44
     ",,,"07:36
     ",,,
员工178,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工179,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工180,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工181,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工182,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工183,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
